set;id;link
10E;130550;https://cards.scryfall.io/large/front/7/a/7a5cd03c-4227-4551-aa4b-7d119f0468b5.jpg
10E;129561;https://cards.scryfall.io/large/front/d/9/d99d5685-538d-4e6a-809b-3ebeab634363.jpg
10E;129682;https://cards.scryfall.io/large/front/7/c/7cfd53b2-3991-4a57-81b5-46618aecce4a.jpg
10E;135206;https://cards.scryfall.io/large/front/2/0/20f18447-2853-469b-b3b3-20d6bcafa6e7.jpg
10E;129562;https://cards.scryfall.io/large/front/d/9/d99d5685-538d-4e6a-809b-3ebeab634363.jpg
10E;130551;https://cards.scryfall.io/large/front/e/a/ea3d742a-52a1-45c8-961a-85b6ff120c44.jpg
10E;129683;https://cards.scryfall.io/large/front/7/c/7cfd53b2-3991-4a57-81b5-46618aecce4a.jpg
10E;129564;https://cards.scryfall.io/large/front/b/9/b9d4d095-664e-4704-b922-f868d0d454d3.jpg
10E;129685;https://cards.scryfall.io/large/front/b/0/b0814958-2fec-443e-b27e-cd2416ccbf95.jpg
10E;130554;https://cards.scryfall.io/large/front/f/e/fe04dfe7-6376-4c12-9404-0e1ae0942917.jpg
10E;129566;https://cards.scryfall.io/large/front/5/d/5da1ef98-b6d5-406f-956b-7107550889d8.jpg
10E;129687;https://cards.scryfall.io/large/front/8/a/8a8042ec-5306-4851-9854-f05ed7e1acf6.jpg
10E;129688;https://cards.scryfall.io/large/front/1/8/181ed588-5b9e-4160-967c-ed927b7e0048.jpg
10E;130552;https://cards.scryfall.io/large/front/b/d/bda6c9d5-113f-44f1-bfaf-c40001ba9f60.jpg
10E;130553;https://cards.scryfall.io/large/front/f/0/f0b9b5da-d3fa-4d70-a71a-a2342dbfd527.jpg
10E;106564;https://cards.scryfall.io/large/front/0/a/0a4f58d5-1dc0-4824-a554-56adc1700d33.jpg
10E;129568;https://cards.scryfall.io/large/front/d/4/d4db271b-b7f2-4a12-b606-2215bab4ac17.jpg
